0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,0,1
7,1,1,0,0,4,4,0,1,0,1,1,1,4,4,4,2,2,1,1,3,6,4,2,2,0,1,0,1,0,1,2,1,1,1,0,0,0,1,2,3,4,2,1,3,4,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
12,5,2,1,3,4,4,0,3,2,3,1,3,4,6,7,8,7,4,5,5,15,5,18,13,4,2,0,1,1,3,5,1,1,6,3,5,0,11,9,10,9,3,2,4,9,8,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,3,1,0,2,0,0,1,0,0,1,1,2,2,3,1,5,2,2,4,2,1,0,0,0,0,2,0,1,1,0,0,1,0,2,1,2,0,2,0,2,3,0,0
3,0,0,0,1,3,0,0,2,1,0,0,0,0,1,2,1,2,2,0,1,2,3,1,4,1,0,0,0,1,4,1,2,1,0,0,0,1,0,0,3,1,0,2,5,0,3,1
21,8,1,2,7,1,7,7,7,8,9,13,14,16,13,17,17,20,22,17,24,26,23,20,23,12,5,3,3,5,13,14,4,9,18,5,14,14,17,20,11,23,11,13,22,18,14,18
2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,1,0,0,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,2,5,6,3,4,1,5,3,5,7,9,6,4,7,4,7,6,3,6,4,6,3,0,0,2,0,1,4,3,0,1,2,8,4,4,2,3,7,3,3,8,2,2,7
1,3,0,0,1,0,2,0,0,1,1,0,2,0,0,1,1,2,0,0,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0
17,0,0,1,5,2,3,0,2,3,1,1,1,6,7,7,10,6,10,1,6,12,16,5,7,0,1,0,2,0,0,4,3,2,1,1,3,6,6,10,7,6,4,2,8,5,9,6
9,1,0,0,0,3,1,1,0,2,4,1,3,7,6,4,5,2,3,1,7,0,3,6,4,4,0,0,0,0,4,1,3,3,2,0,1,3,3,4,4,3,6,5,7,5,1,0
2,3,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,2,3,1,0,0,2,0,0,0,0,0,0,0,0,3,0,3,0,2,0,1,2,0,3,1,1,0,1
2,1,1,0,1,0,1,0,0,2,1,0,2,3,1,2,1,0,4,1,4,1,4,1,2,0,0,0,0,1,1,1,2,1,2,1,0,2,3,2,2,1,4,1,1,2,3,1
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
5,1,0,0,2,3,0,1,1,0,1,1,2,0,1,3,2,3,0,3,2,6,2,1,0,1,2,0,0,3,0,1,1,0,1,0,2,1,1,1,2,1,2,2,1,2,0,0
18,4,0,2,2,11,7,3,6,2,2,2,3,4,5,2,4,5,3,7,12,8,13,8,9,2,2,0,1,3,1,4,1,0,2,3,4,2,7,9,5,8,7,7,18,11,8,8
1,0,0,1,2,2,1,2,0,1,0,0,0,1,4,1,0,0,2,1,1,1,1,2,1,2,0,0,0,1,1,0,3,1,0,0,0,0,1,3,1,1,1,3,0,2,1,2
1,0,0,0,0,2,4,1,0,1,1,0,0,0,0,2,0,1,0,0,1,0,1,1,1,1,2,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,2,1,1,0,0
1,0,0,0,0,1,3,1,0,0,1,1,0,3,2,2,0,1,4,0,2,0,0,2,1,0,0,0,0,1,2,1,0,0,1,0,0,1,1,2,0,0,3,1,0,1,1,0
0,1,0,0,0,0,2,0,0,2,0,0,0,0,1,1,3,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,3,1,0,0,1,2,1,1,0,4,2,3,4,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,3,0,0,0,0,0
4,1,1,0,1,3,5,2,1,3,8,3,6,6,8,1,2,3,6,7,13,9,9,1,9,0,1,0,0,2,2,6,5,4,6,1,4,5,5,4,5,2,0,4,5,8,8,2
8,0,0,0,1,5,3,1,1,4,0,0,2,2,6,5,3,4,1,8,9,6,9,7,4,3,1,0,0,2,2,1,1,1,1,3,0,4,4,4,1,5,3,4,9,11,6,6
4,0,1,0,0,2,0,0,3,1,0,1,1,2,1,0,3,0,1,1,0,3,1,3,1,1,0,0,0,0,0,0,3,0,1,0,2,1,0,2,0,0,1,1,1,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0
0,3,1,0,1,2,1,2,0,0,1,0,4,1,5,1,1,4,4,3,3,4,3,4,2,5,0,0,1,0,1,2,1,1,1,1,3,0,2,2,2,7,3,6,3,2,1,1
15,3,0,1,2,6,5,4,5,5,2,5,5,1,8,4,5,8,8,3,8,15,11,3,9,2,2,0,2,3,4,2,6,6,2,2,4,5,7,2,3,8,10,7,5,8,6,2
19,5,0,0,6,6,10,5,8,4,8,6,3,1,3,12,9,14,6,2,10,13,11,14,15,5,3,0,0,6,5,7,5,2,5,4,5,6,12,8,4,6,7,8,11,11,10,9
